ID,Tank,TankNum,Trt,TpCO2,Ttemp,Infect,Biomass,EPF,BoredStart,ClearDate,ClearRound,BW0_Date,BW0_Corr,BW0_MeasOrd,BW0_L,BW0_W,BW0_Wt1,BW0_Wt2,BW0_Wt3,BW0_Wt,BW0_Dead,BW0_Notes,BW1_Date,BW1_Corr,BW1_MeasOrd,BW1_L,BW1_W,BW1_Wt1,BW1_Wt2,BW1_Wt3,BW1_Wt,BW0_BathDens,BW1_BathDens,BW01_DensPercDiff,BW1_Wt_DensCorr,BW1GrowDays,BW1_DeadWt,BW1_Notes,BW2_Date,BW2_Corr,BW2_MeasOrd,BW2_L,BW2_W,BW2_Wt1,BW2_Wt2,BW2_Wt3,BW2_Wt,BW2_BathDens,BW02_DensPercDiff,BW2_Wt_DensCorr,BW12GrowDays,BW02GrowDays,BW2_DeadWt,BW2_Notes,AbsChDay01,AbsChDay12,AbsChDay02,AbsChDay01_DensCorr,AbsChDay12_DensCorr,AbsChDay02_DensCorr,CalcDay,CalcDay60,CalcDaySource,PeaCrab,EPFLeftover,TraceVial,EPFDate,EPFpHTotal,EPFSal,EPFDIC,EPFpCO2,EPFCO3,EPFCalSat,EPFTankpHTotal,EPFTankSal,EPFTankDIC,EPFTankpCO2,EPFTankCO3,EPFTankCalSat,Alive,Dead,DaysAlive,Shucked,Frozen,Notes,SW,SWNotes,WWDate,WW,DW,WWNotes,DWNotes,CI_SW,FinalPhoto,TotalArea,highMg,repair,arag,AreaLowMg,PropCalciteHighMg,PropArag,PropLowMgRepair,BW0_DW,BW1_DW,BW2_DW,CalcDayDW02,CalcDayDW01,CalcDayDW,Temp,Sal,pHNBS,pHTotal,DICCorr,ATCorr,pHSW_calc,pCO2_DICAT,HCO3_DICAT,CO3_DICAT,CO2_DICAT,CalciteSat_DICAT,AragSat_DICAT,ATCalc_DICpHSW,pCO2_DICpHSW,HCO3_DICpHSW,CO3_DICpHSW,CO2_DICpHSW,CalciteSat_DICpHSW,AragSat_DICpHSW,ATCalc_DICpHNBS,pCO2_DICpHNBS,HCO3_DICpHNBS,CO3_DICpHNBS,CO2_DICpHNBS,CalciteSat_DICpHNBS,AragSat_DICpHNBS,pCO2,HCO3,CO3,CO2,CalciteSat,AragSat,TissueSampled,TissueNotes,CalciteSat2,LogCalciteSat,OystID
19005,1000_23_N_3,4C3,1000_23_N,1000,23,N,N,Y,0,NA,NA,9/13/19,09132019_25,40,58,36,17.985,17.986,17.986,17.986,N,NA,10/10/19,10102019_25,34,58,35,17.97,17.971,17.969,17.97,1021.033068,1021.033068,0,17.97,27,N,NA,11/10/19,11102019_25,38,57,35,17.955,17.953,17.955,17.954,1021.043061,-9.79E-06,17.95450905,31,58,N,if something is weird check the other measurements,-0.000580247,-0.000505376,-0.00054023,-0.000580247,-0.000499708,-0.000270115,-0.00054023,-0.032413793,AbsChDay02,,,,11/21/19,6.799076968,33.00766667,6309.823174,17914.00559,48.59969145,1.182941528,7.916560456,31.20766667,2074.24634,1215.705789,80.73716235,1.992022343,N,11/21/19,71,Y,N,check this shell for bore holes in person,32.062,all EPF were weighed with ports ,11/21/19,1.498666667,0.196333333,0,NA,0.612355228,19005_E,NA,NA,NA,NA,NA,NA,NA,NA,29.64813389,29.6221901,29.5962463,-0.000894614,-0.000960881,-0.000894614,23.048,31.33085507,7.907987087,7.774017043,2065.833333,2165.5,7.659676667,1064.133333,1941.233333,92.25,32.38333333,2.266666667,1.483333333,2243.192058,684.15,1905.216667,139.8,20.81666667,3.45,2.233333333,2238.4,701.4891372,1907.788598,136.7342034,21.33580848,3.368382693,2.189649014,1064.126708,1941.211088,92.26288844,32.38463288,2.27271206,1.477511342,Y,,5.165220108,0.820973858,5
19013,2800_23_N_3,4B3,2800_23_N,2800,23,N,N,Y,0,NA,NA,9/13/19,09132019_25,23,41,22,3.144,3.145,3.146,3.145,N,NA,10/10/19,10102019_25,17,41,22,3.077,3.076,3.076,3.076,1021.033068,1021.033068,0,3.076333333,27,N,NA,11/10/19,11102019_25,25,41,21,3.028,3.029,3.028,3.028,1021.043061,-9.79E-06,3.028362971,31,58,N,NA,-0.00254321,-0.001548387,-0.002011494,-0.00254321,-0.001547431,-0.001183908,-0.002011494,-0.120689655,AbsChDay02,,,,11/21/19,NA,NA,NA,NA,NA,NA,7.354966692,31.241,2203.311296,2968.373245,37.74905749,0.931710254,N,11/21/19,71,Y,N,,7.445,cleaned on 12/26/19,11/21/19,0.23,0.04,0,NA,0.537273338,19013_E,NA,NA,NA,NA,NA,NA,NA,NA,5.58364238,5.471759763,5.393928378,-0.003270931,-0.004143801,-0.003270931,23.16,31.3583913,7.387560391,7.253590348,2212,2165.166667,7.209116667,3204.016667,2079.85,35.25,96.8,0.866666667,0.583333333,2203.674561,2471.016667,2090.516667,46.8,74.58333333,1.15,0.75,2200.266667,2531.832474,2089.81761,45.65085414,76.43017873,1.124798687,0.731711723,3204.023012,2079.827887,35.26043175,96.81032372,0.868826236,0.565254065,Y,,0.754859028,-0.140612133,13
19041,2800_23_N_1,4B1,2800_23_N,2800,23,N,N,Y,0,NA,NA,9/13/19,09132019_25,7,68,35,10.829,10.83,10.832,10.83,N,"if something weird happens, check the other weights",10/10/19,10102019_25,3,69,34,10.597,10.593,10.598,10.596,1021.033068,1021.033068,0,10.596,27,N,NA,11/10/19,11102019_25,13,68,33,10.448,10.449,10.445,10.447,1021.043061,-9.79E-06,10.44743558,31,58,N,NA,-0.008679012,-0.004795699,-0.006603448,-0.008679012,-0.004792401,-0.00404023,-0.006603448,-0.396206897,AbsChDay02,,,,11/21/19,6.93361099,32.45433333,3653.052136,7881.225964,38.76912472,0.948330711,7.371616636,31.20766667,2220.833338,3305.776146,34.38208623,0.848992874,N,11/21/19,71,Y,N,,19.09633333,cleaned on 12/23/19,11/21/19,1.348666667,0.144666667,0,NA,0.757562534,19041_E,1428688,118368,48383,40596,1269724,0.085273887,0.028414881,0.038105132,18.0447715,17.6653435,17.4237419,-0.010707407,-0.014052889,-0.010707407,23.32,31.34244928,7.386022478,7.252052435,2213.166667,2157.666667,7.18161,3407.266667,2077.3,33.08333333,102.8166667,0.816666667,0.533333333,2204.271688,2488.766667,2091.55,46.63333333,75.03333333,1.166666667,0.733333333,2200.766667,2551.797247,2090.827451,45.45267576,76.93175898,1.120436863,0.728953322,3407.281579,2077.309485,33.09878127,102.8036192,0.815954669,0.530906405,Y,,0.665782021,-0.203396479,41
19076,400_23_S_2,3A2,400_23_S,400,23,S,N,Y,0.71403239,NA,NA,9/12/19,09122019_25,16,54,43,10.886,10.884,10.885,10.885,N,NA,10/14/19,10142019_25,47,53,43,10.845,10.845,10.843,10.844,1021.058218,1021.058218,0,10.84433333,32,N,if something weird happens look at other measurements,11/11/19,11112019_25,13,55,43,10.83,10.831,10.829,10.83,1021.06302,-4.70E-06,10.83005094,28,60,N,NA,-0.001270833,-0.000511905,-0.000916667,-0.001270833,-0.000510086,-0.000677778,-0.000916667,-0.055,AbsChDay02,,,,11/20/19,7.398937659,30.371,4311.500793,3236.393686,128.6983637,3.193724208,8.174880617,31.20766667,1927.582504,437.8637902,175.4725109,4.327706641,N,11/20/19,70,Y,N,,19.85633333,cleaned on 12/26/19,11/20/19,1.340666667,0.192333333,0,NA,0.96862462,19076_E,NA,NA,NA,NA,NA,NA,NA,NA,18.1339533,18.06747232,18.0447715,-0.001486363,-0.00207753,-0.001486363,22.956,31.32650725,8.195930826,8.061960783,1951.5,2166,7.937238333,517.7,1774.95,160.6333333,15.71666667,3.95,2.566666667,2274.001668,322.75,1706.966667,234.5333333,9.8,5.75,3.75,2266.983333,331.5501437,1711.644494,229.5976011,10.06257693,5.65684502,3.677776581,517.6874945,1774.966379,160.6152211,15.72307197,3.957805473,2.573273923,Y,,15.66422416,1.375689698,76
19086,400_23_N_3,6A3,400_23_N,400,23,N,N,Y,0,NA,NA,9/15/19,09152019_25,63,60,34,8.767,8.766,8.767,8.767,N,NA,10/13/19,10132019_25,95,61,34,8.763,8.764,8.765,8.764,1021.028182,1021.003037,2.46E-05,8.763784167,28,N,NA,11/8/19,11082019_25,37,60,35,8.764,8.764,8.762,8.763,1021.06302,-3.41E-05,8.763632341,26,54,N,NA,-9.52E-05,-2.56E-05,-6.17E-05,-0.000102946,-5.84E-06,-5.34E-05,-6.17E-05,-0.003703704,AbsChDay02,,,,11/21/19,7.630519477,32.92433333,3275.551017,1357.335586,179.3343969,4.36492878,8.185815401,31.141,1940.309854,483.2781454,161.893927,3.993216979,N,11/21/19,71,Y,N,,16.56366667,cleaned on 12/23/19,11/21/19,0.720333333,0.096333333,0,NA,0.581594252,19086_E,1262344,88748,54081,39980,1133616,0.072603578,0.03167124,0.047706631,14.69964341,14.69477895,14.69315746,-0.00012011,-0.000173731,-0.00012011,23.048,31.31636232,8.195737174,8.061767174,1944.333333,2152.333333,7.928661667,521.7,1772.983333,155.6,15.9,3.85,2.5,2273.069377,313.1833333,1696.566667,238.3833333,9.516666667,5.9,3.816666667,2266.1,321.5225836,1701.222468,233.4660917,9.783386694,5.751145188,3.737968757,521.6958106,1772.991738,155.5930028,15.88720553,3.833091976,2.491525271,Y,,14.69259409,1.343671782,86
19092,400_23_S_1,3A1,400_23_S,400,23,S,N,Y,0.194174283,NA,NA,9/12/19,09122019_25,9,52,35,7.771,7.771,7.772,7.771,N,NA,10/14/19,10142019_25,37,52,36,7.713,7.713,7.714,7.713,1021.058218,1021.058218,0,7.713333333,32,N,NA,11/11/19,11112019_25,1,52,36,7.699,7.699,7.7,7.699,1021.06302,-4.70E-06,7.699369547,28,60,N,NA,-0.0018125,-5.00E-04,-0.0012,-0.0018125,-0.000498707,-0.000966667,-0.0012,-0.072,AbsChDay02,,,,11/20/19,6.706145913,33.84433333,4551.735115,15557.71414,28.46044568,0.688183874,8.179360109,31.00766667,1938.16086,479.8620065,164.0141717,4.051906095,N,11/20/19,70,Y,N,,NA,NA,11/20/19,1.173333333,0.161666667,0,NA,NA,19092_E,NA,NA,NA,NA,NA,NA,NA,NA,13.08464216,12.9905959,12.96789508,-0.001945785,-0.002938946,-0.001945785,22.796,31.32795652,8.198875435,8.064905435,1947.833333,2143.166667,7.902546667,557.1,1783.133333,147.5333333,16.98333333,3.633333333,2.366666667,2274.502767,315.2,1700.766667,237.3166667,9.616666667,5.85,3.783333333,2267.566667,323.5630322,1705.388004,232.4127877,9.850593123,5.725184295,3.72093039,557.1241192,1783.144825,147.5246047,16.98195495,3.634605058,2.362397187,Y,,13.21035393,1.290500455,92
19103,400_23_U_2,6C2,400_23_N,400,23,N,N,Y,0,NA,NA,9/16/19,09162019_25,22,45,26,3.537,3.538,3.537,3.537,N,NA,10/12/19,10122019_25,55,45,27,3.508,3.508,3.508,3.508,1021.058218,1021.053328,4.79E-06,3.507983201,26,N,NA,11/9/19,11092019_25,4,45,27,3.509,3.51,3.508,3.509,1021.088174,-2.93E-05,3.509102949,28,54,N,NA,-0.001128205,3.57E-05,-0.000524691,-0.001128851,4.00E-05,-0.000543521,-0.000524691,-0.031481481,AbsChDay02,,,,11/21/19,7.090512385,34.75766667,2338.633165,3406.062028,38.69402341,0.928848683,8.27049304,31.20766667,1882.783361,402.7305439,180.2787407,4.446243456,N,11/21/19,71,Y,N,,8.683333333,cleaned on 12/23/19,11/21/19,0.374333333,0.060333333,small amount of mantle,NA,0.694817658,19103_E,633476,0,25273,9791,623685,0,0.015455992,0.040522058,6.219265362,6.172242233,6.17386372,-0.000840771,-0.001808582,-0.000840771,23.312,31.3294058,8.22892287,8.09495287,1931,2157,7.957898333,482.8833333,1749.366667,167.15,14.51666667,4.116666667,2.683333333,2286.309815,289.5333333,1665.3,257.0333333,8.716666667,6.333333333,4.116666667,2278.3,298.0690745,1670.732451,251.3587426,8.955815642,6.197146963,4.033109744,482.8798924,1749.370325,167.1616106,14.51507278,4.121467589,2.682387871,Y,small amount of mantle compared to other samples,16.98649509,1.416209311,103
19112,2800_23_U_3,7C3,2800_23_N,2800,23,N,N,Y,0,NA,NA,9/17/19,09172019_25,20,63,33,11.538,11.537,11.538,11.538,N,NA,10/12/19,10122019_25,95,63,34,11.396,11.395,11.396,11.396,1020.977893,1021.053328,-7.39E-05,11.39650864,25,N,NA,11/8/19,11082019_25,15,62,36,11.322,11.322,11.322,11.322,1021.06302,-8.34E-05,11.32294401,27,52,N,NA,-0.00568,-0.002728395,-0.004147436,-0.005646321,-0.002724616,-0.002714577,-0.004147436,-0.248846154,AbsChDay02,,,,NA,NA,NA,NA,NA,NA,NA,7.309254419,31.341,2207.1233,2940.012591,37.83352274,0.932537986,N,11/18/19,68,Y,N,died on its own,21.736,all EPF were weighed with ports ,11/18/19,1.002,0.123,0,NA,0.565881487,19112_E,1332992,191964,29013,52153,1088875,0.149873638,0.039124766,0.026644932,19.19278444,18.96253325,18.8425432,-0.006735408,-0.009210047,-0.006735408,23.096,31.34969565,7.391003,7.25703287,2219.5,2177,7.222418333,3127.866667,2088.333333,36.55,94.63333333,0.9,0.583333333,2207.468994,2552.7,2096.233333,46,77.3,1.133333333,0.75,2204.066667,2614.303917,2095.469737,44.89375914,79.15200765,1.10604603,0.719618265,3127.865025,2088.329547,36.53881076,94.64714609,0.900249771,0.585675065,Y,,0.81044965,-0.105083031,112
19142,1000_23_U_3,8B3,1000_23_N,1000,23,N,N,Y,0,NA,NA,9/17/19,09172019_25,47,54,32,7.528,7.529,7.528,7.528,N,NA,10/13/19,10132019_25,15,54,32,7.518,7.517,7.516,7.517,1020.977893,1021.003037,-2.46E-05,7.517185129,26,N,NA,11/6/19,11062019_25,9,54,32,7.511,7.512,7.511,7.511,1021.058218,-7.87E-05,7.511924285,24,50,N,NA,-0.000435897,-0.000236111,-0.00034,-0.000428777,-0.000219202,-0.000222964,-0.00034,-0.0204,AbsChDay02,,,,11/21/19,6.977852003,32.931,3494.018803,6683.964065,41.59096934,1.012595097,7.811907574,31.30766667,2056.036129,1027.786191,92.50201868,2.279702736,N,11/21/19,71,Y,N,EPF port fell off on 11/15 reattached with superglue,15.331,cleaned on 12/26/19,11/21/19,0.531333333,0.077333333,0,NA,0.504424586,19142_E,NA,NA,NA,NA,NA,NA,NA,NA,12.69062077,12.67278441,12.66305549,-0.000551306,-0.000686014,-0.000551306,23.05833333,31.35984058,7.910295174,7.776325087,2069,2159.666667,7.630841667,1148,1946.966667,87.41666667,34.8,2.166666667,1.383333333,2239.427205,705.9833333,1912.733333,135.05,21.38333333,3.316666667,2.166666667,2234.8,723.6491926,1915.155386,132.1065584,21.92490179,3.253144716,2.116203386,1147.987365,1946.98532,87.39795335,34.80357273,2.152373286,1.40019871,Y,,4.632710762,0.766571087,142
19158,2800_23_S_2,5A2,2800_23_S,2800,23,S,N,Y,0.368394174,NA,NA,9/13/19,09132019_25,63,61,35,9.425,9.424,9.422,9.424,N,NA,10/14/19,10142019_25,5,61,36,9.255,9.254,9.255,9.255,1021.033068,1021.058218,-2.46E-05,9.254894622,31,N,NA,11/9/19,11092019_25,21,61,35,9.156,9.154,9.155,9.155,1021.088174,-5.40E-05,9.155494101,26,57,N,NA,-0.005451613,-0.003833333,-0.00471345,-0.00544426,-0.003823097,-0.002960913,-0.00471345,-0.282807018,AbsChDay02,,,,11/21/19,7.032521879,26.661,4862.215493,8818.965097,53.00217599,1.349883573,7.376622649,31.10766667,2215.0996,3274.662907,33.10039736,0.816483607,N,11/21/19,71,Y,N,EPF port fell off on 11/15 reattached with superglue,17.266,all EPF were weighed with ports ,11/21/19,1.624333333,0.251333333,0,NA,1.455654658,19158_E,NA,NA,NA,NA,NA,NA,NA,NA,15.7649605,15.49092916,15.32878044,-0.007652282,-0.008839721,-0.007652282,22.968,31.29897101,7.378232957,7.244262913,2231.833333,2170.833333,7.171391667,3515.333333,2092.916667,32.23333333,106.65,0.783333333,0.5,2220.476563,2530.333333,2108.766667,46.25,76.75,1.15,0.75,2217.05,2591.998859,2108.017362,45.12545883,78.62760679,1.111989415,0.722951405,3515.30077,2092.900789,32.21613938,106.6534995,0.793872877,0.516145965,Y,,0.630234145,-0.230831935,158
